,Phân Loại,Nhãn,Dữ Liệu,Nguồn Dữ Liệu,Link (Nếu Có),Thông Tin Thêm,Bản text,Price
1,Thông tin số,Cố định,website học viện Công nghệ Bưu chính Viễn thông,Sổ tay sinh viên,https://ptit.edu.vn/,,,
2,Thông tin số,Cố định,Trang tin phòng Giáo vụ của Học viện Công nghệ Bưu chính viễn thông,Sổ tay sinh viên,https://giaovu.ptit.edu.vn/,,,
3,Thông tin số,Cố định,Trang fanpage Học viện Công nghệ Bưu chính viễn thông,Facebook,https://www.facebook.com/HocvienPTIT,,,
4,Thông tin số,Cố định,Trang quản lý đào tạo của học viện Công nghệ Bưu chính viễn thông,Sổ tay sinh viên,https://qldt.ptit.edu.vn,,,
5,Thông tin số,Cố định,Slink PTIT ,PTITSLINK,https://slink.ptit.edu.vn/,,,
6,Giới thiệu,Cố định,Cơ sở vật chất Học viện công nghệ bưu chính viễn thông,"Website Học viện, Facebook",,,Các cơ sở đào tạo của Học viện,
7,Giới thiệu,Cố định,Sơ đồ tổ chức Học viện Công nghệ Bưu chính Viễn thông,Sơ đồ tổ chức – Học viện Công nghệ Bưu Chính Viễn Thông – PTIT, ,,Sơ đồ tổ chức,
8,Giới thiệu,Cố định,Đảng ủy Học viện Công nghệ Bưu chính Viễn thông,https://ptit.edu.vn/gioi-thieu/co-cau-to-chuc/dang-uy-hoc-vien,,,Đảng ủy Học viện Công nghệ Bưu chính Viễn thông,20
9,Giới thiệu,Cố định,Hội đồng Học viện Công nghệ Bưu chính viễn thông,https://ptit.edu.vn/gioi-thieu/co-cau-to-chuc/hoi-dong-hoc-vien,,,Hội đồng Học viện Công nghệ Bưu chính viễn thông,
10,Giới thiệu,Cố định,Ban giám đốc Học viện Công nghệ Bưu chính viễn thông,https://ptit.edu.vn/gioi-thieu/co-cau-to-chuc/ban-giam-doc-hoc-vien,,,BAN GIÁM ĐỐC HỌC VIỆN,
11,Giới thiệu,Cố định,Hội đồng Khoa học và Đào tạo của Học viện Công nghệ Bưu chính Viễn thông,https://ptit.edu.vn/gioi-thieu/co-cau-to-chuc/hoi-dong-khoa-hoc-va-dao-tao,,,HỘI ĐỒNG KHOA HỌC VÀ ĐÀO TẠO,
12,Giới thiệu,Cố định,Hội đồng Giáo sư cơ sở Học viện Công nghệ Bưu chính viễn thông,https://ptit.edu.vn/gioi-thieu/co-cau-to-chuc/hoi-dong-giao-su-co-so,,,HỘI ĐỒNG GIÁO SƯ CƠ SỞ,
13,Giới thiệu,Cố định,Công Đoàn và Đoàn thanh niên Học viện Công nghệ Bưu chính viễn thông,https://ptit.edu.vn/gioi-thieu/co-cau-to-chuc/cong-doan-va-doan-thanh-nien,,,CÔNG ĐOÀN VÀ ĐOÀN THANH NIÊN,
14,Giới thiệu,Cố định,VĂN PHÒNG HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,https://ptit.edu.vn/gioi-thieu/co-cau-to-chuc/van-phong,,,VĂN PHÒNG,
15,Giới thiệu,Cố định,Phòng Tổ chức cán bộ - Lao động Học viện Công nghệ Bưu chính viễn thông,https://ptit.edu.vn/gioi-thieu/co-cau-to-chuc/phong-to-chuc-can-bo-lao-dong,,,PHÒNG TỔ CHỨC CÁN BỘ – LAO ĐỘNG,
16,Giới thiệu,Cố định,Phòng Chính trị và Công tác sinh viên Học viện Công nghệ Bưu chính viễn thông,https://ptit.edu.vn/gioi-thieu/co-cau-to-chuc/phong-chinh-tri-va-cong-tac-sinh-vien, ,,PHÒNG CHÍNH TRỊ VÀ CÔNG TÁC SINH VIÊN,
17,Giới thiệu,Cố định,Phòng Giáo vụ Học viện Công nghệ Bưu chính viễn thông,https://ptit.edu.vn/gioi-thieu/co-cau-to-chuc/phong-giao-vu, ,,PHÒNG GIÁO VỤ,
18,Giới thiệu,Cố định,Phòng tài chính kế toán Học viện Công nghệ Bưu chính viễn thông,https://ptit.edu.vn/gioi-thieu/co-cau-to-chuc/phong-tai-chinh-ke-toan, ,,PHÒNG TÀI CHÍNH KẾ TOÁN,
19,Giới thiệu,Cố định,Phòng Kế hoạch - Đầu tư Học viện Công nghệ Bưu chính viễn thông,https://ptit.edu.vn/gioi-thieu/co-cau-to-chuc/phong-ke-hoach-dau-tu, ,,PHÒNG KẾ HOẠCH – ĐẦU TƯ,
20,Giới thiệu,Cố định,Phòng Đào tạo Học viện Công nghệ Bưu chính viễn thông,https://ptit.edu.vn/gioi-thieu/co-cau-to-chuc/phong-dao-tao, ,,PHÒNG ĐÀO TẠO,
21,Giới thiệu,Cố định,Phòng Quản lý Khoa học Công nghệ – Hợp tác quốc tế của Học viện Công nghệ Bưu chính viễn thông,https://ptit.edu.vn/gioi-thieu/co-cau-to-chuc/phong-quan-ly-khoa-hoc-cong-nghe-hop-tac-quoc-te, ,,PHÒNG QUẢN LÝ KHOA HỌC CÔNG NGHỆ – HỢP TÁC QUỐC TẾ,
22,Giới thiệu,Cố định,Trung tâm dịch vụ của Học viện Công nghệ Bưu chính viễn thông,https://ptit.edu.vn/gioi-thieu/co-cau-to-chuc/trung-tam-dich-vu, ,,TRUNG TÂM DỊCH VỤ,
23,Giới thiệu,Cố định,Trung tâm khảo thí và đảm bảo chất lượng giáo dục của Học viện Công nghệ Bưu chính viễn thông,https://ptit.edu.vn/gioi-thieu/co-cau-to-chuc/trung-tam-khao-thi-va-dam-bao-chat-luong-giao-duc, ,,TRUNG TÂM KHẢO THÍ VÀ ĐẢM BẢO CHẤT LƯỢNG GIÁO DỤC,
